Country,Last,Unit,Ticker,YF,Rate,eUSD,ISO,Less than Bitcoin,BTC Equivalent,Less than ETH,Less than Combined
Israel,1287482000000.0,ILS Million,ILS,ILSUSD=X,0.2714146,349441412037.2,ISR,True,0.5319262929550057,False,True
Portugal,302570000000.0,EUR Million,EUR,EURUSD=X,1.0919415,330388739654.99994,PRT,True,0.5029239565345273,False,True
Norway,3147156000000.0,NOK Million,NOK,NOKUSD=X,0.093493514,294238673546.184,NOR,True,0.44789564565621104,False,True
Philippines,15837211000000.0,PHP Million,PHP,PHPUSD=X,0.018096272,286594477977.392,PHL,True,0.43625950731809743,False,True
Czech Republic,6224273000000.0,CZK Million,CZK,CZKUSD=X,0.046027802,286489605237.946,CZE,True,0.43609986806068846,False,True
Egypt,8069150000000.0,EGP Million,EGP,EGPUSD=X,0.032425422,261645593931.30002,EGY,True,0.39828184655192234,False,True
Greece,233315000000.0,EUR Million,EUR,EURUSD=X,1.0919415,254766331072.49997,GRC,True,0.3878101031789445,False,True
Denmark,1717371000000.0,DKK Million,DKK,DKKUSD=X,0.14654827,251677748998.17,DNK,True,0.3831086054265524,False,True
Chile,188932000000000.0,CLP Billion,CLP,CLPUSD=X,0.0012529445,236721310274.0,CHL,True,0.36034163296047983,False,True
South Africa,4007742000000.0,ZAR Million,ZAR,ZARUSD=X,0.05329445,213590405631.9,ZAF,True,0.3251313346525673,True,True
